method,K,method_acc,baseline_mean,baseline_std,p_value,complication,prevalence
A_V_BLOK_II_joint,10,0.5075546443711225,0.502565535872548,0.008985932071108677,0.12,A_V_BLOK,0.033529411764705884
A_V_BLOK_II_joint,16,0.4984783931832015,0.5030578424149235,0.008847871491039007,0.98,A_V_BLOK,0.033529411764705884
A_V_BLOK_DII_L1,3,0.5,0.49922018985381894,0.007545682292138876,0.94,A_V_BLOK,0.033529411764705884
A_V_BLOK_DII_L1,5,0.5,0.4992937074884411,0.013923907803402517,0.85,A_V_BLOK,0.033529411764705884
A_V_BLOK_DII_L1,10,0.5,0.502565535872548,0.008985932071108677,0.7,A_V_BLOK,0.033529411764705884
A_V_BLOK_DII_L1,16,0.49878271454656115,0.5030578424149235,0.008847871491039007,0.98,A_V_BLOK,0.033529411764705884
OTEK_LANC_MI_perfeat,3,0.5653133022337044,0.49761442990135457,0.028113412111415933,0.01,OTEK_LANC,0.09352941176470589
OTEK_LANC_MI_perfeat,5,0.5556548675816978,0.5024727266048756,0.012884758244558899,0.01,OTEK_LANC,0.09352941176470589
OTEK_LANC_MI_perfeat,10,0.5615197188789441,0.5075828201078283,0.01563350264724661,0.02,OTEK_LANC,0.09352941176470589
OTEK_LANC_MI_perfeat,16,0.5387337308535257,0.5109006852529805,0.014718057457749414,0.08,OTEK_LANC,0.09352941176470589
OTEK_LANC_II_perfeat,3,0.5,0.49761442990135457,0.028113412111415933,0.55,OTEK_LANC,0.09352941176470589
